course_code,course_name,description,credits,department,prerequisites,semester,year,time_slots,max_capacity,current_enrollment
CS101,Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""03:00 PM"", ""end_time"": ""03:50 PM"", ""room"": ""Foellinger Auditorium AUD""}, {""day"": ""Wednesday"", ""start_time"": ""03:00 PM"", ""end_time"": ""03:50 PM"", ""room"": ""Foellinger Auditorium AUD""}]",50,0
CS102,Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""04:00 PM"", ""end_time"": ""05:15 PM"", ""room"": ""Literatures, Cultures, & Ling G27""}]",50,0
CS105,Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""10:00 AM"", ""end_time"": ""11:45 AM"", ""room"": ""Campus Instructional Facility 0027/1025""}]",50,0
CS107,Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""10:00 AM"", ""end_time"": ""10:50 AM"", ""room"": ""Lincoln Hall THEAT""}, {""day"": ""Wednesday"", ""start_time"": ""10:00 AM"", ""end_time"": ""10:50 AM"", ""room"": ""Lincoln Hall THEAT""}, {""day"": ""Friday"", ""start_time"": ""10:00 AM"", ""end_time"": ""10:50 AM"", ""room"": ""Lincoln Hall THEAT""}]",50,0
CS124,Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,3,CS,[],Spring,2025,[],50,0
CS128,Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""09:30 AM"", ""end_time"": ""10:50 AM"", ""room"": ""Siebel Center for Comp Sci 1302""}]",50,0
CS173,Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""09:30 AM"", ""end_time"": ""10:45 AM"", ""room"": ""Campus Instructional Facility 3039""}]",50,0
CS199,Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,3,CS,[],Spring,2025,[],50,0
CS210,Ethical &amp; Professional Issues,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""04:00 PM"", ""end_time"": ""04:50 PM"", ""room"": ""Campus Instructional Facility 35""}, {""day"": ""Wednesday"", ""start_time"": ""04:00 PM"", ""end_time"": ""04:50 PM"", ""room"": ""Campus Instructional Facility 35""}]",50,0
CS211,Ethical and Professional Conduct,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""10:00 AM"", ""end_time"": ""12:50 PM"", ""room"": ""Illini Center ARR""}]",50,0
